timestamp,month,hour,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season,cnt
04/01/2015 0:00,1,0,3,2,93,6,3,0,1,3,182
04/01/2015 1:00,1,1,3,2.5,93,5,1,0,1,3,138
04/01/2015 2:00,1,2,2.5,2.5,96.5,0,1,0,1,3,134
04/01/2015 3:00,1,3,2,2,100,0,1,0,1,3,72
04/01/2015 4:00,1,4,2,0,93,6.5,1,0,1,3,47
04/01/2015 5:00,1,5,2,2,93,4,1,0,1,3,46
04/01/2015 6:00,1,6,1,-1,100,7,4,0,1,3,51
04/01/2015 7:00,1,7,1,-1,100,7,4,0,1,3,75
04/01/2015 8:00,1,8,1.5,-1,96.5,8,4,0,1,3,131
04/01/2015 9:00,1,9,2,-0.5,100,9,3,0,1,3,301
04/01/2015 10:00,1,10,3,-0.5,93,12,3,0,1,3,528
04/01/2015 11:00,1,11,2,-1.5,100,12,3,0,1,3,727
04/01/2015 12:00,1,12,2,-1.5,96.5,13,4,0,1,3,862
04/01/2015 13:00,1,13,3,-0.5,87,15,3,0,1,3,916
04/01/2015 14:00,1,14,2.5,0,90,8,3,0,1,3,1039
04/01/2015 15:00,1,15,2,-1.5,93,11,3,0,1,3,869
04/01/2015 16:00,1,16,3,0,93,12,3,0,1,3,737
04/01/2015 17:00,1,17,3,0,93,11,3,0,1,3,594
04/01/2015 18:00,1,18,3,1.5,93,6.5,3,0,1,3,522
04/01/2015 19:00,1,19,3,1,93,7,3,0,1,3,379
04/01/2015 20:00,1,20,3,3,93,4,3,0,1,3,328
04/01/2015 21:00,1,21,3,2.5,93,5,4,0,1,3,221
04/01/2015 22:00,1,22,3,2,93,6,4,0,1,3,178
04/01/2015 23:00,1,23,4,3.5,87,5,4,0,1,3,157
05/01/2015 0:00,1,0,4,3,93,6,4,0,0,3,83
05/01/2015 1:00,1,1,4,3.5,93,5,4,0,0,3,67
05/01/2015 2:00,1,2,5,4,87,6,4,0,0,3,32
05/01/2015 3:00,1,3,6,4.5,84,7.5,4,0,0,3,22
05/01/2015 4:00,1,4,6.5,5,84,8,4,0,0,3,38
05/01/2015 5:00,1,5,6,5.5,87,5,4,0,0,3,81
05/01/2015 6:00,1,6,7,6.5,81,5,3,0,0,3,444
05/01/2015 7:00,1,7,7,6,81,6.5,3,0,0,3,1597
05/01/2015 8:00,1,8,8,7.5,79,5,3,0,0,3,3161
05/01/2015 9:00,1,9,8,7,82,6,3,0,0,3,1342
05/01/2015 10:00,1,10,9,8,84.5,6.5,3,0,0,3,568
05/01/2015 11:00,1,11,9,7.5,90.5,10,3,0,0,3,584
05/01/2015 12:00,1,12,10,8,85,11,3,0,0,3,762
05/01/2015 13:00,1,13,10,8.5,82,10,3,0,0,3,873
05/01/2015 14:00,1,14,10,9,82,9,3,0,0,3,672
05/01/2015 15:00,1,15,10,8.5,79,10,3,0,0,3,807
05/01/2015 16:00,1,16,10,8.5,73.5,13,3,0,0,3,1192
05/01/2015 17:00,1,17,9.5,7.5,73.5,12,3,0,0,3,2761
05/01/2015 18:00,1,18,9.5,7.5,69,14,3,0,0,3,2389
05/01/2015 19:00,1,19,9,6.5,71,14,3,0,0,3,1274
05/01/2015 20:00,1,20,9,7,71,14,3,0,0,3,696
05/01/2015 21:00,1,21,9,7,71,11,3,0,0,3,411
05/01/2015 22:00,1,22,9,7.5,71,10,4,0,0,3,324
05/01/2015 23:00,1,23,8.5,7.5,73.5,8,4,0,0,3,192
06/01/2015 0:00,1,0,8,6.5,76,8,4,0,0,3,91
06/01/2015 1:00,1,1,8,6.5,76,8,4,0,0,3,73
06/01/2015 2:00,1,2,8,6,76,11,4,0,0,3,33
06/01/2015 3:00,1,3,8,5.5,76,14,4,0,0,3,19
06/01/2015 4:00,1,4,8.5,6.5,73.5,11,4,0,0,3,40
06/01/2015 5:00,1,5,8,5.5,82,14,4,0,0,3,74
06/01/2015 6:00,1,6,8,5,84.5,15,3,0,0,3,530
06/01/2015 7:00,1,7,9,7,82,13,3,0,0,3,1715
06/01/2015 8:00,1,8,9,7,82,12,7,0,0,3,3534
06/01/2015 9:00,1,9,9,6.5,87,16,7,0,0,3,1573
06/01/2015 10:00,1,10,10,7.5,88,19.5,3,0,0,3,635
06/01/2015 11:00,1,11,10,8,88,18,3,0,0,3,550
